id,display_name,display_name_alternatives,type,season,description
10072,磯竃,,季語,春,初春(立春から啓蟄の前日まで)
10073,磯巾着,,季語,春,
10074,磯菜摘,,季語,春,
10075,磯遊び,,季語,春,晩春(清明から立夏の前日まで)
10076,一位の花,,季語,春,晩春(清明から立夏の前日まで)
10077,一人静,,季語,春,仲春(啓蟄から清明の前日まで)
10078,一日正月,,季語,春,仲春(啓蟄から清明の前日まで)
10079,一夜官女,,季語,春,初春(立春から啓蟄の前日まで)
10080,一輪草,,季語,春,晩春(清明から立夏の前日まで)
10081,稲荷祭,,季語,春,晩春(清明から立夏の前日まで)
10082,芋植う,,季語,春,仲春(啓蟄から清明の前日まで)
10083,引鴨,,季語,春,仲春(啓蟄から清明の前日まで)
10084,引鶴,,季語,春,仲春(啓蟄から清明の前日まで)
10085,烏芋,,季語,春,初春(立春から啓蟄の前日まで)
10086,烏貝,,季語,春,
10087,雨水,,季語,春,初春(立春から啓蟄の前日まで)
10088,厩出し,,季語,春,仲春(啓蟄から清明の前日まで)
10089,浦佐の堂押,,季語,春,仲春(啓蟄から清明の前日まで)
10090,雲雀,,季語,春,
10091,雲雀の巣,,季語,春,
10092,雲雀笛,,季語,春,
10093,雲丹,,季語,春,晩春(清明から立夏の前日まで)
10094,栄螺,,季語,春,
10095,園韓神祭,,季語,春,仲春(啓蟄から清明の前日まで)
10096,燕,,季語,春,仲春(啓蟄から清明の前日まで)
10097,燕の巣,,季語,春,
10098,遠足,,季語,春,晩春(清明から立夏の前日まで)
10099,翁草,,季語,春,晩春(清明から立夏の前日まで)
10100,黄心樹,,季語,春,晩春(清明から立夏の前日まで)
10101,黄水仙,,季語,春,仲春(啓蟄から清明の前日まで)
10102,黄梅,,季語,春,初春(立春から啓蟄の前日まで)
10103,黄楊の花,,季語,春,晩春(清明から立夏の前日まで)
10104,黄連,,季語,春,仲春(啓蟄から清明の前日まで)
10105,荻の若葉,,季語,春,晩春(清明から立夏の前日まで)
10106,荻の焼原,,季語,春,初春(立春から啓蟄の前日まで)
10107,屋根替,,季語,春,仲春(啓蟄から清明の前日まで)
10108,牡丹の芽,,季語,春,初春(立春から啓蟄の前日まで)
10109,牡蒿,おとこよもぎ,季語,春,
10110,下萌,,季語,春,初春(立春から啓蟄の前日まで)
10111,夏近し,,季語,春,晩春(清明から立夏の前日まで)
10112,嫁菜,,季語,春,仲春(啓蟄から清明の前日まで)
10113,嫁菜摘む,,季語,春,仲春(啓蟄から清明の前日まで)
10114,嫁菜飯,,季語,春,仲春(啓蟄から清明の前日まで)
10115,果樹植う,,季語,春,晩春(清明から立夏の前日まで)
10116,河烏,,季語,春,
10117,河原鶸,,季語,春,
10118,河豚供養,,季語,春,仲春(啓蟄から清明の前日まで)
10119,花,"花房,花の輪,花片,花盛り,花の錦,徒花,花の陰,花影,花の奥,花の雲,花明り,花の姿,花の香,花の名残,花を惜しむ,花朧,花月夜,花の露,花の山,花の庭,花の門,花便り,春の花,春花,花笠,花の粧,花の風",季語,春,晩春(清明から立夏の前日まで)
10120,花の雨,,季語,春,晩春(清明から立夏の前日まで)
10121,花の宴,,季語,春,晩春(清明から立夏の前日まで)
10122,花の宿,,季語,春,晩春(清明から立夏の前日まで)
10123,花の都,,季語,春,晩春(清明から立夏の前日まで)
10124,花の鈴,,季語,春,晩春(清明から立夏の前日まで)
10125,花衣,"花ごろも,花見衣,花の袖,花見小袖,花の袂,花見衣装",季語,春,晩春(清明から立夏の前日まで)
10126,花烏賊,,季語,春,晩春(清明から立夏の前日まで)
10127,花換祭,,季語,春,晩春(清明から立夏の前日まで)
10128,花軍,,季語,春,晩春(清明から立夏の前日まで)
10129,花見,さくら狩,季語,春,晩春(清明から立夏の前日まで)
10130,花見虱,,季語,春,晩春(清明から立夏の前日まで)
10131,花御堂,,季語,春,晩春(清明から立夏の前日まで)
10132,花祭,,季語,春,晩春(清明から立夏の前日まで)
10133,花菜漬,,季語,春,初春(立春から啓蟄の前日まで)
10134,花時,,季語,春,晩春(清明から立夏の前日まで)
10135,花車,,季語,春,晩春(清明から立夏の前日まで)
10136,花守,,季語,春,晩春(清明から立夏の前日まで)
10137,花種蒔く,"種まき,種,たね",季語,春,仲春(啓蟄から清明の前日まで)
10138,花水祝,,季語,春,初春(立春から啓蟄の前日まで)
10139,花水木,,季語,春,晩春(清明から立夏の前日まで)
